Building,sampling_region,building_type,size_bin,heating_fuel,hvac_system_type
52,4,warehouse,0,NaturalGas,PSZ-AC with gas coil
53,22,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
54,40,strip_mall,0,NaturalGas,PSZ-AC with gas coil
55,104,strip_mall,0,NaturalGas,PSZ-AC with gas coil
56,101,strip_mall,0,NaturalGas,PSZ-AC with gas coil
57,22,retail,0,NaturalGas,PSZ-AC with gas coil
58,22,small_office,0,NaturalGas,PSZ-AC with gas coil
59,9,small_office,0,Electricity,PSZ-AC with electric coil
60,40,warehouse,0,Electricity,PSZ-AC with electric coil
61,19,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
62,20,strip_mall,0,NaturalGas,PSZ-AC with gas coil
63,17,small_office,0,NaturalGas,PSZ-AC with gas coil
64,17,warehouse,0,NaturalGas,PSZ-AC with gas coil
65,18,retail,0,NaturalGas,PSZ-AC with gas coil
66,36,warehouse,0,NaturalGas,PSZ-AC with gas coil
67,5,retail,0,Electricity,PTHP
68,29,small_office,0,NaturalGas,PSZ-AC with gas coil
69,9,retail,0,NaturalGas,PSZ-AC with gas coil
70,9,small_office,0,NaturalGas,PSZ-AC with gas coil
71,30,small_office,0,NaturalGas,PSZ-AC with gas coil
72,5,retail,0,Electricity,PSZ-HP
73,8,small_office,0,NaturalGas,PSZ-AC with gas coil
74,39,warehouse,0,Electricity,PSZ-AC with electric coil
75,26,strip_mall,0,NaturalGas,PSZ-AC with gas coil
76,10,retail,0,FuelOil,PSZ-AC with gas coil
77,18,small_office,0,NaturalGas,PSZ-AC with gas coil
78,4,small_office,0,NaturalGas,PSZ-AC with gas coil
79,105,warehouse,0,NaturalGas,PSZ-AC with gas coil
80,38,warehouse,0,NaturalGas,PSZ-AC with gas coil
81,19,retail,1,NaturalGas,PSZ-AC with gas coil
82,40,small_office,0,Electricity,PSZ-AC with electric coil
83,6,warehouse,0,Electricity,PSZ-AC with electric coil
84,8,retail,0,NaturalGas,PSZ-AC with gas coil
85,18,small_office,0,NaturalGas,Residential AC with residential forced air furnace
86,40,retail,0,Electricity,PSZ-AC with electric coil
87,5,full_service_restaurant,0,Electricity,PSZ-AC with electric coil
88,13,small_office,0,NaturalGas,PSZ-AC with gas coil
89,30,retail,0,NaturalGas,PSZ-AC with gas coil
90,13,small_office,0,NaturalGas,Residential AC with residential forced air furnace
91,10,small_office,0,NaturalGas,PSZ-AC with gas coil
92,40,warehouse,0,NaturalGas,PSZ-AC with gas coil
93,103,strip_mall,0,NaturalGas,PSZ-AC with gas coil
94,25,warehouse,0,NaturalGas,PSZ-AC with gas coil
95,39,strip_mall,0,Electricity,PSZ-AC with electric coil
96,29,retail,0,NaturalGas,PSZ-AC with gas coil
97,39,retail,0,NaturalGas,PSZ-AC with gas coil
98,0,small_office,0,Electricity,PSZ-AC with electric coil
99,4,strip_mall,0,NaturalGas,PSZ-AC with gas coil
100,28,small_office,0,NaturalGas,PSZ-AC with gas coil
101,104,warehouse,0,NaturalGas,PSZ-AC with gas coil
102,38,small_office,0,NaturalGas,PSZ-AC with gas coil
103,9,small_office,0,Electricity,PSZ-HP
104,4,retail,0,NaturalGas,PSZ-AC with gas coil
105,22,small_office,0,NaturalGas,Residential AC with residential forced air furnace
106,36,small_office,0,NaturalGas,PSZ-AC with gas coil
107,26,retail,0,NaturalGas,PSZ-AC with gas coil
108,33,warehouse,0,NaturalGas,PSZ-AC with gas coil
109,36,retail,0,NaturalGas,PSZ-AC with gas coil
110,9,strip_mall,0,Electricity,PSZ-HP
111,29,small_office,0,NaturalGas,Residential AC with residential forced air furnace
112,30,small_office,0,NaturalGas,Residential AC with residential forced air furnace
113,12,strip_mall,0,Electricity,PSZ-AC with electric coil
114,22,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
115,17,retail,0,NaturalGas,PSZ-AC with gas coil
116,107,retail,0,NaturalGas,PSZ-AC with gas coil
117,5,warehouse,0,Electricity,PTAC with electric coil
118,5,warehouse,0,NaturalGas,PSZ-AC with gas coil
119,12,small_office,0,NaturalGas,PSZ-AC with gas coil
120,26,warehouse,0,NaturalGas,PSZ-AC with gas coil
121,5,full_service_restaurant,0,Electricity,PSZ-HP
122,40,small_office,0,NaturalGas,PSZ-AC with gas coil
123,33,small_office,0,NaturalGas,PSZ-AC with gas coil
124,25,strip_mall,0,NaturalGas,PSZ-AC with gas coil
125,48,small_office,0,NaturalGas,PSZ-AC with gas coil
126,38,strip_mall,0,NaturalGas,PSZ-AC with gas coil
127,12,warehouse,0,Electricity,PSZ-AC with electric coil
128,5,quick_service_restaurant,0,Electricity,PSZ-AC with electric coil
129,8,small_office,0,Electricity,PTHP
130,10,warehouse,0,NaturalGas,PSZ-AC with gas coil
131,40,strip_mall,0,Electricity,PSZ-AC with electric coil
132,6,strip_mall,0,Electricity,PSZ-AC with electric coil
133,2,strip_mall,0,NaturalGas,PSZ-AC with gas coil
134,13,retail,0,NaturalGas,PSZ-AC with gas coil
135,32,strip_mall,0,Electricity,PSZ-AC with electric coil
136,17,small_office,0,NaturalGas,Residential AC with residential forced air furnace
137,0,small_office,0,Electricity,PTHP
138,9,retail,0,Propane,PSZ-AC with gas coil
139,19,retail,0,Electricity,PSZ-AC with electric coil
140,37,strip_mall,0,Electricity,PSZ-AC with electric coil
141,5,retail,1,Electricity,PSZ-AC with electric coil
142,40,retail,0,NaturalGas,PSZ-AC with gas coil
143,32,small_office,0,Electricity,PTHP
144,32,warehouse,0,NaturalGas,PSZ-AC with gas coil
145,107,warehouse,0,NaturalGas,PSZ-AC with gas coil
146,13,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
147,6,warehouse,0,Electricity,PSZ-HP
148,106,strip_mall,0,NaturalGas,PSZ-AC with gas coil
149,9,small_office,0,NaturalGas,Residential AC with residential forced air furnace
150,105,warehouse,0,Electricity,PSZ-AC with electric coil
151,10,warehouse,0,FuelOil,PSZ-AC with gas coil
152,8,small_office,0,Electricity,PSZ-AC with electric coil
153,0,retail,0,NaturalGas,PSZ-AC with gas coil
154,13,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
155,8,small_office,0,NaturalGas,Residential AC with residential forced air furnace
156,37,strip_mall,0,NaturalGas,PSZ-AC with gas coil
157,9,warehouse,0,Electricity,PSZ-AC with electric coil
158,37,small_office,0,Electricity,PTHP
159,108,strip_mall,0,NaturalGas,PSZ-AC with gas coil
160,24,strip_mall,0,NaturalGas,PSZ-AC with gas coil
161,105,small_office,0,NaturalGas,PSZ-AC with gas coil
162,48,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
163,0,strip_mall,0,Electricity,PSZ-HP
164,27,strip_mall,0,NaturalGas,PSZ-AC with gas coil
165,9,retail,0,Electricity,PSZ-AC with electric coil
166,105,retail,0,NaturalGas,PSZ-AC with gas coil
167,32,small_office,0,Electricity,PSZ-AC with electric coil
168,33,retail,0,NaturalGas,PSZ-AC with gas coil
169,18,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
170,26,small_office,0,NaturalGas,PSZ-AC with gas coil
171,38,retail,0,Electricity,PSZ-AC with electric coil
172,8,strip_mall,0,Electricity,PSZ-AC with electric coil
173,28,strip_mall,0,NaturalGas,PSZ-AC with gas coil
174,107,small_office,0,NaturalGas,PSZ-AC with gas coil
175,37,warehouse,0,NaturalGas,PSZ-AC with gas coil
176,18,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
177,28,retail,0,NaturalGas,PSZ-AC with gas coil
178,20,warehouse,0,NaturalGas,PSZ-AC with gas coil
179,102,small_office,0,NaturalGas,PSZ-AC with gas coil
180,39,small_office,0,NaturalGas,PSZ-AC with gas coil
181,37,small_office,0,Electricity,PSZ-AC with electric coil
182,5,strip_mall,0,NaturalGas,PSZ-AC with gas coil
183,12,warehouse,0,NaturalGas,PSZ-AC with gas coil
184,26,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
185,36,small_office,0,NaturalGas,Residential AC with residential forced air furnace
186,28,warehouse,0,NaturalGas,PSZ-AC with gas coil
187,102,retail,0,NaturalGas,PSZ-AC with gas coil
188,13,retail,0,Propane,PSZ-AC with gas coil
189,16,small_office,0,NaturalGas,PSZ-AC with gas coil
190,13,warehouse,0,Electricity,PSZ-AC with electric coil
191,0,small_office,0,NaturalGas,Residential AC with residential forced air furnace
192,0,retail,0,Electricity,PSZ-AC with electric coil
193,19,small_office,1,NaturalGas,PSZ-AC with gas coil
194,106,warehouse,0,NaturalGas,PSZ-AC with gas coil
195,4,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
196,48,retail,0,NaturalGas,PSZ-AC with gas coil
197,18,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
198,22,retail,0,Electricity,PTHP
199,17,strip_mall,0,Electricity,PSZ-AC with electric coil
200,16,strip_mall,0,NaturalGas,PSZ-AC with gas coil
201,26,small_office,0,NaturalGas,Residential AC with residential forced air furnace
202,32,strip_mall,0,NaturalGas,PSZ-AC with gas coil
203,48,small_office,0,NaturalGas,Residential AC with residential forced air furnace
204,39,warehouse,0,NaturalGas,PSZ-AC with gas coil
205,25,small_office,0,NaturalGas,PSZ-AC with gas coil
206,36,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
207,107,warehouse,0,Electricity,PSZ-AC with electric coil
208,22,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
209,104,warehouse,0,Electricity,PSZ-AC with electric coil
210,16,retail,0,NaturalGas,PSZ-AC with gas coil
211,9,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
212,40,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
213,101,warehouse,0,NaturalGas,PSZ-AC with gas coil
214,22,full_service_restaurant,0,Electricity,PSZ-AC with electric coil
215,11,strip_mall,0,NaturalGas,PSZ-AC with gas coil
216,38,small_office,0,Electricity,PSZ-AC with electric coil
217,13,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
218,0,retail,0,Propane,PSZ-AC with gas coil
219,30,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
220,33,small_office,0,NaturalGas,Residential AC with residential forced air furnace
221,10,small_office,0,FuelOil,PSZ-AC with gas coil
222,0,small_office,0,Electricity,PSZ-HP
223,22,retail,1,Electricity,PSZ-AC with electric coil
224,106,retail,0,NaturalGas,PSZ-AC with gas coil
225,37,retail,0,Electricity,PSZ-AC with electric coil
226,11,retail,0,NaturalGas,PSZ-AC with gas coil
227,40,small_office,0,NaturalGas,Residential AC with residential forced air furnace
228,25,retail,0,NaturalGas,PSZ-AC with gas coil
229,39,retail,0,Electricity,PSZ-AC with electric coil
230,33,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
231,13,full_service_restaurant,0,Propane,PSZ-AC with gas coil
232,16,small_office,0,Electricity,PSZ-AC with electric coil
233,38,retail,0,NaturalGas,PSZ-AC with gas coil
234,11,warehouse,0,NaturalGas,PSZ-AC with gas coil
235,12,retail,0,NaturalGas,PSZ-AC with gas coil
236,29,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
237,24,retail,0,FuelOil,PSZ-AC with gas coil
238,5,small_office,0,Electricity,PTAC with electric coil
239,17,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
240,10,small_office,0,Electricity,PSZ-AC with electric coil
241,6,retail,0,Electricity,PSZ-AC with electric coil
242,9,quick_service_restaurant,0,Electricity,PSZ-AC with electric coil
243,20,small_office,0,NaturalGas,Residential AC with residential forced air furnace
244,6,small_office,0,Electricity,PTHP
245,20,small_office,0,NaturalGas,PSZ-AC with gas coil
246,37,retail,0,NaturalGas,PSZ-AC with gas coil
247,102,warehouse,0,NaturalGas,PSZ-AC with gas coil
248,32,retail,0,Propane,PSZ-AC with gas coil
249,107,small_office,0,Electricity,PSZ-AC with electric coil
250,22,quick_service_restaurant,0,Electricity,PSZ-AC with electric coil
251,19,retail,0,NaturalGas,Residential AC with residential forced air furnace
252,19,warehouse,1,NaturalGas,PSZ-AC with gas coil
253,11,small_office,0,NaturalGas,PSZ-AC with gas coil
254,100,strip_mall,0,NaturalGas,PSZ-AC with gas coil
255,15,strip_mall,0,NaturalGas,PSZ-AC with gas coil
256,9,warehouse,0,Electricity,PSZ-HP
257,8,small_office,0,Electricity,PSZ-HP
258,24,small_office,0,FuelOil,PSZ-AC with gas coil
259,39,small_office,0,Electricity,PSZ-HP
260,38,strip_mall,0,Electricity,PSZ-HP
261,16,strip_mall,0,Electricity,PSZ-AC with electric coil
262,39,warehouse,0,Electricity,PSZ-HP
263,33,small_office,0,Electricity,PSZ-AC with electric coil
264,38,small_office,0,Electricity,PTHP
265,22,strip_mall,0,Electricity,PSZ-HP
266,5,small_office,1,Electricity,PSZ-AC with electric coil
267,101,retail,0,NaturalGas,PSZ-AC with gas coil
268,104,retail,0,NaturalGas,PSZ-AC with gas coil
269,33,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
270,9,retail,0,Electricity,PTHP
271,20,retail,0,NaturalGas,PSZ-AC with gas coil
272,33,warehouse,0,Electricity,PSZ-AC with electric coil
273,13,small_office,0,Electricity,PSZ-AC with electric coil
274,32,small_office,0,Electricity,PSZ-HP
275,9,retail,0,Electricity,PSZ-HP
276,6,small_office,0,Electricity,PSZ-AC with electric coil
277,4,small_office,0,NaturalGas,Residential AC with residential forced air furnace
278,101,small_office,0,NaturalGas,PSZ-AC with gas coil
279,8,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
280,5,warehouse,0,Electricity,PTHP
281,30,small_office,0,Electricity,PSZ-AC with electric coil
282,108,retail,0,NaturalGas,PSZ-AC with gas coil
283,37,small_office,0,Electricity,PSZ-HP
284,105,small_office,0,Electricity,PSZ-AC with electric coil
285,30,strip_mall,0,Electricity,PSZ-AC with electric coil
286,9,full_service_restaurant,0,Electricity,PSZ-AC with electric coil
287,105,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
288,4,strip_mall,0,Electricity,PSZ-AC with electric coil
289,13,warehouse,0,Propane,PSZ-AC with gas coil
290,6,strip_mall,0,Electricity,PSZ-HP
291,40,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
292,22,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
293,29,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
294,20,retail,0,Propane,PSZ-AC with gas coil
295,37,strip_mall,0,Electricity,PSZ-HP
296,17,retail,0,Electricity,PSZ-AC with electric coil
297,13,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
298,15,small_office,0,NaturalGas,PSZ-AC with gas coil
299,0,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
300,31,strip_mall,0,NaturalGas,PSZ-AC with gas coil
301,39,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
302,47,strip_mall,0,NaturalGas,PSZ-AC with gas coil
303,2,small_office,0,NaturalGas,PSZ-AC with gas coil
304,32,small_office,0,NaturalGas,PSZ-AC with gas coil
305,49,small_office,0,NaturalGas,PSZ-AC with gas coil
306,32,strip_mall,0,Electricity,PSZ-HP
307,31,small_office,0,NaturalGas,PSZ-AC with gas coil
308,30,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
309,21,strip_mall,0,NaturalGas,PSZ-AC with gas coil
310,32,warehouse,0,Electricity,PSZ-AC with electric coil
311,33,strip_mall,0,Electricity,PSZ-AC with electric coil
312,31,warehouse,0,NaturalGas,PSZ-AC with gas coil
313,102,small_office,0,Electricity,PSZ-AC with electric coil
314,0,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
315,48,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
316,4,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
317,16,warehouse,0,NaturalGas,PSZ-AC with gas coil
318,27,warehouse,0,NaturalGas,PSZ-AC with gas coil
319,39,full_service_restaurant,0,Electricity,PSZ-AC with electric coil
320,48,warehouse,0,FuelOil,PSZ-AC with gas coil
321,32,retail,0,NaturalGas,PSZ-AC with gas coil
322,2,retail,0,NaturalGas,PSZ-AC with gas coil
323,17,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
324,105,strip_mall,0,Electricity,PSZ-AC with electric coil
325,37,warehouse,0,Electricity,PSZ-AC with electric coil
326,16,warehouse,0,Electricity,PSZ-AC with electric coil
327,22,retail,0,NaturalGas,Residential AC with residential forced air furnace
328,101,warehouse,0,Electricity,PSZ-AC with electric coil
329,0,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
330,22,retail,1,NaturalGas,PSZ-AC with gas coil
331,37,retail,0,Electricity,PTHP
332,5,strip_mall,1,Electricity,PSZ-AC with electric coil
333,5,retail,0,NaturalGas,PSZ-AC with gas coil
334,19,full_service_restaurant,1,NaturalGas,PSZ-AC with gas coil
335,38,retail,0,Electricity,PSZ-HP
336,37,retail,0,Electricity,PSZ-HP
337,49,warehouse,0,NaturalGas,PSZ-AC with gas coil
338,12,retail,0,Electricity,PSZ-AC with electric coil
339,19,warehouse,0,Electricity,PSZ-AC with electric coil
340,37,retail,0,Propane,PSZ-AC with gas coil
341,32,retail,0,Electricity,PSZ-AC with electric coil
342,104,small_office,0,NaturalGas,PSZ-AC with gas coil
343,29,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
344,25,small_office,0,Electricity,PTHP
345,33,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
346,2,retail,0,Electricity,PSZ-AC with electric coil
347,13,retail,0,Electricity,PSZ-AC with electric coil
348,19,strip_mall,1,NaturalGas,PSZ-AC with gas coil
349,2,warehouse,0,NaturalGas,PSZ-AC with gas coil
350,8,retail,0,Electricity,PSZ-AC with electric coil
351,9,full_service_restaurant,0,Electricity,PSZ-HP
352,108,warehouse,0,NaturalGas,PSZ-AC with gas coil
353,6,warehouse,0,Electricity,PTAC with electric coil
354,5,small_office,0,NaturalGas,PSZ-AC with gas coil
355,2,small_office,0,Electricity,PSZ-AC with electric coil
356,37,small_office,0,NaturalGas,PSZ-AC with gas coil
357,8,strip_mall,0,Electricity,PSZ-HP
358,18,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
359,25,small_office,0,NaturalGas,Residential AC with residential forced air furnace
360,2,strip_mall,0,Electricity,PSZ-AC with electric coil
361,40,retail,1,Electricity,PSZ-AC with electric coil
362,33,retail,0,Electricity,PSZ-AC with electric coil
363,17,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
364,6,retail,0,Electricity,PTHP
365,28,small_office,0,NaturalGas,Residential AC with residential forced air furnace
366,40,retail,0,Electricity,PTHP
367,106,warehouse,0,Electricity,PSZ-AC with electric coil
368,19,quick_service_restaurant,0,Electricity,PSZ-AC with electric coil
369,103,retail,0,NaturalGas,PSZ-AC with gas coil
370,23,strip_mall,0,NaturalGas,PSZ-AC with gas coil
371,0,retail,0,Electricity,PSZ-HP
372,9,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
373,6,retail,0,Electricity,PSZ-HP
374,24,full_service_restaurant,0,Propane,PSZ-AC with gas coil
375,15,strip_mall,0,Electricity,PSZ-AC with electric coil
376,49,retail,0,NaturalGas,PSZ-AC with gas coil
377,40,quick_service_restaurant,0,Electricity,PSZ-AC with electric coil
378,108,small_office,0,NaturalGas,PSZ-AC with gas coil
379,22,small_office,0,Electricity,PTHP
380,5,small_office,1,Electricity,PVAV with PFP boxes
381,10,retail,0,Propane,PSZ-AC with gas coil
382,34,strip_mall,0,NaturalGas,PSZ-AC with gas coil
383,19,strip_mall,2,NaturalGas,PSZ-AC with gas coil
384,12,small_office,0,NaturalGas,Residential AC with residential forced air furnace
385,30,small_office,0,Electricity,PTAC with electric coil
386,8,warehouse,0,Electricity,PSZ-AC with electric coil
387,0,warehouse,0,Electricity,PSZ-AC with electric coil
388,25,small_office,0,Electricity,PSZ-AC with electric coil
389,109,strip_mall,0,NaturalGas,PSZ-AC with gas coil
390,20,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
391,47,retail,0,FuelOil,PSZ-AC with gas coil
392,0,full_service_restaurant,0,Electricity,PSZ-AC with electric coil
393,38,small_office,0,Electricity,PSZ-HP
394,30,small_office,0,Electricity,PTHP
395,5,large_hotel,0,Electricity,PTAC with electric coil
396,38,warehouse,0,Electricity,PSZ-AC with electric coil
397,8,retail,0,Propane,PSZ-AC with gas coil
398,5,small_hotel,0,Electricity,PTAC with electric coil
399,31,retail,0,NaturalGas,PSZ-AC with gas coil
400,9,retail,1,Electricity,PSZ-AC with electric coil
401,9,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
402,10,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
403,5,retail,0,Propane,PSZ-AC with gas coil
404,29,small_office,0,Electricity,PSZ-AC with electric coil
405,2,warehouse,0,Electricity,PSZ-AC with electric coil
406,102,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
407,13,strip_mall,0,Electricity,PSZ-AC with electric coil
408,17,small_office,0,Electricity,PSZ-AC with electric coil
409,13,small_office,0,Electricity,PTAC with electric coil
410,26,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
411,107,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
412,24,warehouse,0,FuelOil,PSZ-AC with gas coil
413,40,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
414,38,small_office,0,NaturalGas,Residential AC with residential forced air furnace
415,22,small_office,0,Electricity,PSZ-HP
416,8,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
417,108,warehouse,0,Electricity,PSZ-AC with electric coil
418,39,small_office,0,Electricity,PTAC with electric coil
419,5,retail,0,Electricity,PTAC with electric coil
420,105,warehouse,0,Electricity,PSZ-HP
421,6,small_office,0,Electricity,PSZ-HP
422,48,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
423,19,warehouse,1,NaturalGas,PVAV with gas boiler reheat
424,0,full_service_restaurant,0,Propane,PSZ-AC with gas coil
425,0,quick_service_restaurant,0,Electricity,PSZ-AC with electric coil
426,22,retail,0,Electricity,PTAC with electric coil
427,26,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
428,20,full_service_restaurant,0,Propane,PSZ-AC with gas coil
429,29,warehouse,0,Electricity,PSZ-AC with electric coil
430,22,warehouse,0,Electricity,PTHP
431,19,small_office,0,Electricity,PSZ-AC with electric coil
432,11,warehouse,0,Electricity,PSZ-AC with electric coil
433,18,retail,1,NaturalGas,PSZ-AC with gas coil
434,39,retail,0,NaturalGas,Residential AC with residential forced air furnace
435,5,strip_mall,2,Electricity,PVAV with PFP boxes
436,30,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
437,5,small_office,1,Electricity,PSZ-HP
438,102,warehouse,0,Electricity,PSZ-AC with electric coil
439,11,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
440,8,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
441,22,retail,0,Electricity,PSZ-HP
442,30,warehouse,0,Electricity,PSZ-AC with electric coil
443,20,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
444,101,small_office,0,Electricity,PSZ-AC with electric coil
445,12,strip_mall,0,NaturalGas,PSZ-AC with gas coil
446,19,small_office,1,NaturalGas,Residential AC with residential forced air furnace
447,38,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
448,11,small_office,0,NaturalGas,Residential AC with residential forced air furnace
449,107,retail,1,NaturalGas,PSZ-AC with gas coil
450,40,quick_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
451,19,retail,0,Electricity,PSZ-HP
452,12,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
453,36,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
454,24,small_office,0,NaturalGas,PSZ-AC with gas coil
455,28,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
456,25,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
457,10,retail,0,Electricity,PSZ-AC with electric coil
458,6,retail,1,Electricity,PSZ-AC with electric coil
459,32,warehouse,0,Electricity,PSZ-HP
460,8,quick_service_restaurant,0,Electricity,PSZ-AC with electric coil
461,27,small_office,0,NaturalGas,PSZ-AC with gas coil
462,48,strip_mall,0,Electricity,PSZ-AC with electric coil
463,106,small_office,0,NaturalGas,PSZ-AC with gas coil
464,12,strip_mall,0,Electricity,PSZ-HP
465,24,retail,0,Propane,PSZ-AC with gas coil
466,30,small_office,0,Electricity,PSZ-HP
467,12,small_office,0,Electricity,PSZ-AC with electric coil
468,22,small_office,0,Electricity,PTAC with electric coil
469,12,warehouse,0,Electricity,PSZ-HP
470,107,retail,0,NaturalGas,Residential AC with residential forced air furnace
